date,open,high,low,close,adjusted_close,volume,dividend_amount,q_return
2016-01-01,209.44,211.0,199.83,203.87,180.4748,2924836766.0,1.2115,0.06689093682649006
2016-04-01,195.01,206.87,194.45,205.52,182.8698,2323306500.0,1.0496,-0.06591296068535113
2016-07-01,209.12,212.52,198.65,209.48,187.3667,2612406900.0,1.0784,-0.05463228153215083
2016-10-01,217.37,219.22,212.31,216.3,194.4479,2292393000.0,1.0821,0.016346306825318457
2017-01-01,220.73,228.34,219.15,223.53,202.1342,1821463800.0,1.3289,-0.07132154207531127
2017-04-01,238.39,240.32,231.61,235.74,214.1046,1921474100.0,1.0331,-0.04846001799936939
2017-07-01,241.97,245.01,239.96,241.8,220.6792,1555272400.0,1.1831,-0.039896525588204224
2017-10-01,247.92,251.32,244.95,251.23,230.4215,1286405280.0,1.2346,-0.0450966541616068
2018-01-01,264.76,268.6,260.76,266.86,245.998,1715222830.0,1.3513,-0.09239897145487086
2018-04-01,271.41,280.41,257.83,263.15,243.5483,2336204952.0,1.0968,0.061498241471853454
2018-07-01,272.41,279.48,268.49,271.28,252.2012,1600700314.0,1.2456,-0.06399448812515207
2018-10-01,289.84,293.94,286.71,290.72,271.4982,1228083461.0,1.3226,0.034850130471855145
2019-01-01,280.28,280.4,233.76,249.92,234.7877,3102621849.0,1.4354,-0.003350341363347553
2019-04-01,280.44,285.18,272.42,282.48,266.5395,1678081316.0,1.2331,-0.08593971341053297
2019-07-01,275.31,296.31,273.09,293.0,277.812,1340435548.0,1.4316,-0.016255313596139853
2019-10-01,290.57,302.63,289.27,296.77,282.6919,1322797499.0,1.3836,-0.023978276511408714
2020-01-01,314.59,323.8,307.13,321.86,308.0924,1281220574.0,1.57,-0.061783367103075526
2020-04-01,298.21,313.84,218.26,257.75,248.2404,5888710884.0,1.4056,0.10081826461559573
2020-07-01,303.62,323.41,296.74,308.36,298.2978,2347940437.0,1.3662,-0.11429685828005098
2020-10-01,350.21,358.75,319.8,334.89,325.2742,1815146487.0,1.3392,-0.004095042312494357
2021-01-01,365.57,378.46,362.03,373.88,364.6989,1342397107.0,1.58,-0.12138652743180844
2021-04-01,385.59,398.12,371.88,396.33,387.8659,2401881132.0,1.2778,-0.1160800228997857
2021-07-01,422.57,428.78,414.7,428.06,420.3074,1281016394.0,1.3759,-0.05151355813086056
2021-10-01,452.56,454.05,428.78,429.14,422.7312,1745953627.0,1.4281,-0.048239854197083876
2022-01-01,461.64,479.0,448.92,474.96,469.5288,1926485453.0,1.6335,0.01714680015432868
2022-04-01,435.04,462.07,415.12,451.64,447.8475,2374192157.0,1.366,0.0886690982505276
2022-07-01,415.17,417.44,362.17,377.25,375.6944,1958752731.0,1.5769,-0.00426745686965746
2022-10-01,392.89,411.73,357.04,357.18,357.18,1995062808.0,1.5964,0.15069329145164945
2022-11-01,361.08,379.46,355.71,356.56,356.56,717065313.0,0.0,0.0
